BIGRAM,n,mean_delta,mean_abs
rebound_off → foul_personal,1,-0.31330962029300125,0.31330962029300125
timeout → turnover,1,-0.10869427441883506,0.10869427441883506
foul_shooting → timeout,1,-0.10559590438391275,0.10559590438391275
foul_personal → turnover,1,-0.09947324025091253,0.09947324025091253
free throw → substitution,2,-0.09810678535472583,0.09810678535472583
free throw → missed shot,2,-0.07549737447945742,0.07549737447945742
rebound_off → made shot,5,0.0727370421258465,0.0727370421258465
free throw → rebound_def,1,-0.06855042804423683,0.06855042804423683
substitution → made shot,1,0.06232335944075884,0.06232335944075884
substitution → free throw,4,0.06042509181648306,0.06042509181648306
foul_shooting → substitution,1,-0.05931718555290555,0.05931718555290555
foul_personal → missed shot,2,-0.051236522262633866,0.051236522262633866
substitution → missed shot,2,-0.0236368341297995,0.0236368341297995
missed shot → rebound_off,6,-0.016901146001827166,0.020993721557087192
missed shot → rebound_def,8,-0.00782163085571852,0.012008217914157321
free throw → made shot,4,-0.0005392715854776742,0.008512419520035175
timeout → substitution,1,0.008457067606282731,0.008457067606282731
substitution → substitution,7,-0.00021378441446505216,0.00517705169213843
foul_shooting → free throw,2,0.002343311069979981,0.002343311069979981
foul_personal → free throw,1,0.0023077384239944543,0.0023077384239944543
foul_personal → substitution,1,-0.0012667982531469058,0.0012667982531469058
violation → end of period,1,-0.0004739538586626679,0.0004739538586626679
START → timeout,1,0.0,0.0
START → violation,1,0.0,0.0
START → foul_personal,4,0.0,0.0
START → foul_shooting,4,0.0,0.0
START → free throw,1,0.0,0.0
START → made shot,4,0.0,0.0
START → missed shot,8,0.0,0.0
START → substitution,2,0.0,0.0
free throw → free throw,1,0.0,0.0
