feature,value,delta,delta_lo,delta_hi,n
AWAY_BONUS,0.0,0.04147803092144642,0.0013263226927078724,0.08046937102428872,290
AWAY_BONUS,1.0,-0.10551428918613526,-0.14749840260921024,-0.07074349806829934,114
CLOCK_BIN,0.0,-0.07393940019532208,-0.10958589932861836,-0.03672247330778,116
CLOCK_BIN,1.0,0.09085904773319486,0.0364550709329793,0.14310132529137357,105
CLOCK_BIN,2.0,-0.035510030976765306,-0.11135925454140544,0.03185806620192124,96
CLOCK_BIN,3.0,0.030591115937761315,-0.02331050564733939,0.08971338129950292,82
EVTYPE,foul_personal,0.05668426223565082,-0.06828275461084071,0.1734918647761738,14
EVTYPE,foul_shooting,0.17553116413365177,0.08641227044691968,0.26810073986570077,16
EVTYPE,free throw,0.09331927707081522,0.021977169212475115,0.16333109507305937,35
EVTYPE,made shot,0.060865722555290214,0.015263102198086704,0.1131032300671331,73
EVTYPE,missed shot,-0.06360587207661339,-0.12538614826368955,-0.005828056850567191,88
EVTYPE,rebound_def,-0.06333999735418772,-0.13173048732763148,-0.0006113749216687108,60
EVTYPE,rebound_off,-0.07937543768817423,-0.17163826316928024,0.010476098654075727,37
EVTYPE,substitution,0.033995026150776986,-0.054599187825748005,0.1135773017336532,46
EVTYPE,timeout,-0.003870521577660213,-0.17151268983192125,0.19210487907126084,8
EVTYPE,turnover,0.008753893724174122,-0.0862273632556258,0.11903993938882,17
HOME_BONUS,0.0,-0.011981791832502586,-0.04529912730675824,0.019431396565104318,364
HOME_BONUS,1.0,0.10903430567577332,0.03818983354480144,0.18881986752788524,40
MARGIN_BIN,1.0,0.10247061806451752,0.059594200198389305,0.14390806006999418,190
MARGIN_BIN,2.0,-0.0618931186914794,-0.10633820470459567,-0.01806418155545302,152
MARGIN_BIN,3.0,-0.15075059235992216,-0.21419459953680683,-0.07861089108266789,30
MARGIN_BIN,4.0,-0.22032280006774618,-0.2906650496627206,-0.1412566951310786,13
MARGIN_BIN,7.0,-0.13693159151382917,-0.16922392378378123,-0.10011407380196084,14
OFF_BONUS,0.0,0.01313242862958397,-0.023035194592895047,0.049784376204082624,332
OFF_BONUS,1.0,-0.06055508756974837,-0.10796466108730018,-0.008898047394290062,72
OFF_SIDE,AWAY,0.014914640555868774,-0.023358253813051556,0.059854638069644236,201
OFF_SIDE,HOME,-0.020692016488443765,-0.06308374442862519,0.026217298919022886,181
OFF_SIDE,UNK,0.033973283303578516,-0.05730614096206622,0.12384674319759284,22
